Symbol,Direction Accuracy (%),Correct Predictions,Incorrect Predictions,Up Predictions,Down Predictions,Actual Ups,Actual Downs,Count
SHW,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
WDC,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
F,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
MU,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
SWK,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
DVA,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
CSX,33.33333333333333,1.0,2.0,2.0,1.0,2.0,1.0,3.0
ALLE,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
MO,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
UNH,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PARA,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
FFIV,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
NOC,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
MA,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
ACN,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0
COP,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CTRA,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
SWKS,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
VRTX,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
OTIS,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
J,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
GOOGL,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
TER,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
JKHY,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
CAG,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
RSG,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
TSCO,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ABT,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
AEE,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
NDSN,66.66666666666666,2.0,1.0,2.0,1.0,1.0,2.0,3.0
GPC,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
TDG,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
QCOM,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
GNRC,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
STZ,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PCAR,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
APD,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
EL,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
USB,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
FCX,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CTVA,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
LEN,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
NRG,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
CRM,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ISRG,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
LH,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
VMC,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
FDX,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
RTX,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
BSX,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
MRK,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
