Symbol,Direction Accuracy (%),Correct Predictions,Incorrect Predictions,Up Predictions,Down Predictions,Actual Ups,Actual Downs,Count
SHW,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
WDC,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
F,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
MU,100.0,4.0,0.0,3.0,1.0,3.0,1.0,4.0
SWK,100.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
DVA,33.33333333333333,1.0,2.0,3.0,0.0,1.0,2.0,3.0
CSX,33.33333333333333,1.0,2.0,2.0,1.0,2.0,1.0,3.0
ALLE,66.66666666666666,2.0,1.0,3.0,0.0,2.0,1.0,3.0
MO,75.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0
UNH,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
PARA,25.0,1.0,3.0,4.0,0.0,1.0,3.0,4.0
FFIV,33.33333333333333,1.0,2.0,3.0,0.0,1.0,2.0,3.0
NOC,28.57142857142857,2.0,5.0,7.0,0.0,2.0,5.0,7.0
MA,100.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
ACN,0.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0
COP,80.0,4.0,1.0,3.0,2.0,2.0,3.0,5.0
CTRA,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
SWKS,0.0,0.0,3.0,1.0,2.0,2.0,1.0,3.0
VRTX,66.66666666666666,2.0,1.0,2.0,1.0,1.0,2.0,3.0
OTIS,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
J,100.0,3.0,0.0,1.0,2.0,1.0,2.0,3.0
GOOGL,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
TER,40.0,2.0,3.0,5.0,0.0,2.0,3.0,5.0
JKHY,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
CAG,80.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0
RSG,50.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0
TSCO,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0
ABT,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
AEE,33.33333333333333,1.0,2.0,3.0,0.0,1.0,2.0,3.0
NDSN,50.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
GPC,66.66666666666666,2.0,1.0,1.0,2.0,2.0,1.0,3.0
TDG,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
QCOM,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
GNRC,100.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
STZ,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PCAR,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
APD,50.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0
EL,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
USB,80.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0
FCX,50.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0
CTVA,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
LEN,100.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
NRG,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
CRM,100.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
ISRG,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
LH,75.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0
VMC,100.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
FDX,75.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0
RTX,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
BSX,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
MRK,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
UAL,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
PRU,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
TMUS,83.33333333333334,5.0,1.0,5.0,1.0,4.0,2.0,6.0
ENPH,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
AVY,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
WDAY,33.33333333333333,1.0,2.0,2.0,1.0,2.0,1.0,3.0
LUV,33.33333333333333,1.0,2.0,3.0,0.0,1.0,2.0,3.0
IT,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
ECL,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
IPG,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
STE,0.0,0.0,4.0,2.0,2.0,2.0,2.0,4.0
PNC,33.33333333333333,1.0,2.0,3.0,0.0,1.0,2.0,3.0
