Symbol,Direction Accuracy (%),Correct Predictions,Incorrect Predictions,Up Predictions,Down Predictions,Actual Ups,Actual Downs,Count
ED,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
AKAM,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
LNT,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
POOL,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CPRT,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
NEM,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
CNP,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
VICI,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
LKQ,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
EPAM,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
WMT,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
LYV,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
SO,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
O,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
PSA,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
DPZ,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
CTRA,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
OKE,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
SBAC,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
FANG,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
EXR,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
CZR,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
HSIC,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
FSLR,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
SMCI,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
KEYS,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HD,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
SRE,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
INTU,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
AXON,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
WDAY,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
KDP,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
PNW,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
PEG,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
AMT,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
LOW,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
UHS,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
EXE,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
EBAY,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
A,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
CRM,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
APA,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
FE,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
INVH,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
VRSK,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
TJX,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
TKO,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
NRG,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
NVDA,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PARA,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
SNPS,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
MNST,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MOS,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
NTAP,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
DELL,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
NCLH,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
EIX,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
WBD,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
EOG,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ERIE,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
SOLV,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HRL,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
VST,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
HPQ,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
SJM,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
VTRS,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ADSK,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
EVRG,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CRWD,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ROST,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
BBY,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
TGT,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
AZO,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CPB,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
BF-B,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
COST,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
COO,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
HPE,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
KR,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
AVGO,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ORCL,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
ADBE,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
DG,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
CCI,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ULTA,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
GIS,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
WSM,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
DRI,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
NKE,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ACN,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
MU,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
JBL,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
FDX,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
LEN,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
FDS,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
MKC,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
DLTR,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
PAYX,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
