Symbol,RMSE,MAE,MAPE,R2,Count
SHW,6.910344559776945,6.910344559776945,1.8935954427715493,,1.0
WDC,0.3699264007111296,0.3699264007111296,2.455098144565533,,1.0
F,0.2613473143325109,0.2613473143325109,2.2684810691704986,,1.0
MU,0.8688948240596943,0.8688948240596943,1.0517183250606208,,1.0
SWK,0.459790328848932,0.459790328848932,2.670082406036487,,1.0
DVA,2.841539192378022,2.841539192378022,2.4989351994164606,,1.0
CSX,0.08232972804310838,0.06688996243008427,2.603211241673851,0.9975848306164782,3.0
ALLE,1.4297719676854257,1.4297719676854257,1.3426419182998572,,1.0
MO,0.343355088303511,0.343355088303511,0.6813635048790181,,1.0
UNH,0.6482659540182567,0.6482659540182567,0.3171826907472365,,1.0
PARA,0.5606324613103588,0.5606324613103588,2.0651513307864855,,1.0
FFIV,1.6922815001999787,1.6922815001999787,7.521251111999905,,1.0
NOC,11.205884710973919,11.205884710973919,3.3678139658993476,,1.0
MA,3.693743145816706,3.277051571434704,1.541538674676091,0.9991486177931087,2.0
ACN,0.3891144370456931,0.38911297845863757,2.715491653345907,0.946367457152926,2.0
COP,0.12122742969168243,0.12122742969168243,1.2706876334473747,,1.0
CTRA,0.061871927291012874,0.061871927291012874,2.2117905681985186,,1.0
SWKS,6.047034977180601,6.047034977180601,8.437550256494088,,1.0
VRTX,7.378848435476868,7.378848435476868,1.7209740338214847,,1.0
OTIS,1.1791969063895493,1.1791969063895493,1.634116886442263,,1.0
J,0.32913789384753483,0.32913436411138974,1.2523465737620372,0.9985525509942174,2.0
GOOGL,0.016029103034210124,0.016029103034210124,0.09832334391441647,,1.0
TER,5.088463564513283,5.088463564513283,14.248735743293278,,1.0
JKHY,0.39141479050582806,0.39141479050582806,5.650678937142374,,1.0
CAG,0.31991473636718126,0.31991473636718126,1.7527225479019395,,1.0
RSG,1.343439147885647,1.343439147885647,0.5892635071523891,,1.0
TSCO,0.1318801444714861,0.1318801444714861,1.5278907147591745,,1.0
ABT,0.41029252541893463,0.39255168628941917,1.032375949604828,0.9998840193147858,2.0
AEE,0.3634958546551381,0.3634958546551381,2.2607165048587126,,1.0
NDSN,5.854699880679092,3.871004682651492,4.348797202165352,0.9847073408708211,3.0
GPC,0.1282608861937682,0.1282608861937682,0.6376692121445298,,1.0
TDG,0.5850208566083808,0.5850208566083808,0.6845033320520508,,1.0
QCOM,12.715637559504913,12.715637559504913,9.591492044052917,,1.0
GNRC,0.21842265747015688,0.21842265747015688,0.4012909355971232,,1.0
STZ,0.1845914839725502,0.1845914839725502,0.829554332970024,,1.0
PCAR,0.4263965880484726,0.4263965880484726,1.332930146289545,,1.0
APD,0.6972677801413596,0.6972677801413596,0.7225151665562706,,1.0
EL,0.18514607586245369,0.18514607586245369,1.305682827476116,,1.0
USB,0.737513025283767,0.6103984351426117,1.7904445160318818,0.9970521311792108,2.0
FCX,0.09108879506125422,0.09108879506125422,2.8788268775039048,,1.0
CTVA,0.6506769555448386,0.6506769555448386,1.486961339400536,,1.0
LEN,0.5454050298078386,0.5454050298078386,1.1533753153284396,,1.0
NRG,0.7509714213027981,0.7454909030579717,2.3224437226847043,-1066.570694982539,2.0
CRM,8.405011231691219,8.405011231691219,3.7128230514330327,,1.0
ISRG,1.1994021876786292,1.1994021876786292,1.6736623687052785,,1.0
LH,0.22705007622183615,0.22705007622183615,0.5302523649275191,,1.0
VMC,0.37200089648872847,0.37200089648872847,0.8774804108790801,,1.0
FDX,1.1438132320188146,1.1438132320188146,1.724295995914714,,1.0
RTX,0.30061912750906217,0.30061912750906217,1.015610561486457,,1.0
BSX,1.0397720241336401,1.0397720241336401,1.176611963128921,,1.0
MRK,1.68009197866958,1.68009197866958,2.352690720875885,,1.0
UAL,0.8787502021778337,0.8787502021778337,1.6548968501498225,,1.0
PRU,0.7130580946420721,0.7130580946420721,1.9869963560667336,,1.0
TMUS,2.387263492249623,2.387263492249623,3.62355442403028,,1.0
ENPH,26.621130890204853,26.621130890204853,17.704928692566206,,1.0
AVY,0.1632673926480237,0.1632673926480237,0.9206803422553866,,1.0
WDAY,3.891927825738094,3.891927825738094,2.508493702123364,,1.0
LUV,0.6387064508874243,0.6387064508874243,4.338250457984384,,1.0
IT,1.4405108393074642,1.4405108393074642,1.6384336548090086,,1.0
ECL,2.774339626724071,2.774339626724071,2.108139472714363,,1.0
IPG,0.11539559503657681,0.11539559503657681,1.8523775019925692,,1.0
STE,0.5564966917489578,0.5564966917489578,2.970576696774152,,1.0
PNC,0.9654157429611239,0.9654157429611239,4.952617232221491,,1.0
EBAY,0.5140819628812014,0.5140819628812014,4.943385934786362,,1.0
CLX,1.4176288454478652,1.4176288454478652,0.8827508829216157,,1.0
KMB,1.2336507397484127,1.2336507397484127,1.3689740490266247,,1.0
CTAS,0.3058760289697027,0.3058760289697027,1.4918835010194433,,1.0
AMT,0.29979086351965556,0.29979086351965556,2.2215880152592202,,1.0
INTC,0.2143004285256307,0.2143004285256307,1.5038267754256172,,1.0
NCLH,0.42808767405731274,0.42808767405731274,2.246000451480846,,1.0
CRWD,2.658423608464261,2.658423608464261,1.3480165904164179,,1.0
CMG,0.3367567389623254,0.3367567389623254,6.7646286157499995,,1.0
META,19.164922006136976,19.164922006136976,5.333863337755676,,1.0
RF,0.06251237309655622,0.06251237309655622,1.2717627199331203,,1.0
